Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
131,132,1,15689.01,15459.99,-1.459747938206429,long,Max Drawdown Limit,81,-18550.620000000035,1263071.8399999994,1.468690807009055,1.44743249895918
135,136,1,12440.01,13716.36,-10.26003998389069,short,Max Drawdown Limit,101,-128911.35000000003,1134160.4899999993,11.366235302377724,10.20617718783123
138,139,1,14675.11,14919.51,1.6654048930467957,long,Max Drawdown Limit,77,18818.799999999974,1152979.2899999993,0.0,0.0
141,142,1,16960.39,17069.79,0.6450323371101812,long,Max Drawdown Limit,67,7329.8000000000975,1160309.0899999996,0.0,0.0
144,145,1,14902.54,14400.0,-3.372176823548206,long,Max Drawdown Limit,77,-38695.58000000007,1121613.5099999995,3.449992324004736,3.3349372450404644
146,147,1,14907.09,13238.78,-11.191386112245914,long,Max Drawdown Limit,75,-125123.24999999996,996490.2599999995,12.556394680666527,11.155647545650556
149,150,1,14210.0,13474.99,-5.172484166080227,long,Max Drawdown Limit,70,-51450.70000000001,945039.5599999995,5.444290607263055,5.163191459593403
152,153,1,10900.0,10988.79,-0.8145871559633108,short,Max Drawdown Limit,86,-7635.940000000075,937403.6199999994,0.8145840102473751,0.8080021538992574
154,155,1,10961.97,11474.98,-4.679906987521406,short,Max Drawdown Limit,85,-43605.85000000002,893797.7699999994,4.878715461552338,4.6517688933183345
156,157,1,12799.94,11530.0,-9.921452756809801,long,Max Drawdown Limit,69,-87625.86000000003,806171.9099999995,10.869376483236689,9.80376802685467
158,159,1,10760.05,10799.18,-0.363660020167202,short,Max Drawdown Limit,74,-2895.6200000000754,803276.2899999993,0.360476219209721,0.3591814554789082
162,163,1,11089.0,11491.0,-3.6252141762106596,short,Max Drawdown Limit,72,-28944.0,774332.2899999993,3.737930133328164,3.603243412051914
168,169,1,9224.52,8873.03,3.8103879659863034,short,Max Drawdown Limit,83,29173.669999999984,803505.9599999993,0.0,0.0
171,172,1,8184.81,6939.99,15.208905276970395,short,trailing_take_profit,98,121992.36000000006,925498.3199999994,0.0,0.0
173,174,1,7652.14,7599.0,0.6944462594777452,short,Max Drawdown Limit,120,6376.800000000039,931875.1199999994,0.0,0.0
176,177,1,8683.92,8533.98,1.7266395821242078,short,Max Drawdown Limit,107,16043.580000000054,947918.6999999995,0.0,0.0
178,179,1,8063.88,8903.0,-10.40590881808757,short,Max Drawdown Limit,117,-98177.04,849741.6599999995,11.553751524904651,10.357116069131255
184,185,1,11039.55,10383.43,-5.943358198477284,long,Max Drawdown Limit,76,-49865.11999999992,799876.5399999996,6.234102077803145,5.868268245198183
187,188,1,11200.99,10437.6,-6.815379711971883,long,Max Drawdown Limit,71,-54200.68999999996,745675.8499999995,7.268666405114247,6.776131976567296
189,190,1,9811.04,10131.04,-3.2616317943867315,short,Max Drawdown Limit,76,-24320.0,721355.8499999995,3.3714289556257175,3.2614707851944003
201,202,1,10716.48,9910.0,-7.525605422676099,long,Max Drawdown Limit,67,-54034.159999999974,667321.6899999996,8.097168248794663,7.490638635563841
206,207,1,9533.57,9131.34,4.2190910645225195,short,Max Drawdown Limit,69,27753.86999999997,695075.5599999996,0.0,0.0
209,210,1,8170.0,8240.98,-0.8687882496939971,short,Max Drawdown Limit,85,-6033.299999999963,689042.2599999997,0.8756066717881619,0.8680063502736212
213,214,1,8189.99,8600.0,5.006233218843982,long,Max Drawdown Limit,84,34440.84000000002,723483.0999999996,0.0,0.0
221,222,1,8134.23,7795.51,4.164131085548347,short,Max Drawdown Limit,88,29807.359999999942,753290.4599999996,0.0,0.0
224,225,1,7090.14,6840.23,3.524754095123661,short,Max Drawdown Limit,106,26490.46000000008,779780.9199999997,0.0,0.0
227,228,1,6813.01,7056.0,-3.566558686982696,short,Max Drawdown Limit,114,-27700.859999999975,752080.0599999997,3.6832328728406916,3.5523900738684397
238,239,1,7923.0,7877.41,-0.575413353527706,long,Max Drawdown Limit,94,-4285.460000000014,747794.5999999997,0.5730798270006181,0.5698143359897035
241,242,1,8355.0,8064.92,-3.471932974266905,long,Max Drawdown Limit,89,-25817.119999999995,721977.4799999997,3.5758899294199598,3.452434665882851
246,247,1,8856.98,8915.31,0.6585766254411767,long,Max Drawdown Limit,81,4724.729999999994,726702.2099999997,0.0,0.0
250,251,1,9619.99,8869.99,-7.796265900484305,long,Max Drawdown Limit,75,-56250.0,670452.2099999997,8.389859733626654,7.740447080792561
252,253,1,9266.0,8915.35,-3.7842650550399273,long,Max Drawdown Limit,72,-25246.799999999974,645205.4099999998,3.912986408467954,3.7656375239631084
254,255,1,9348.0,9419.0,0.7595207531022679,long,Max Drawdown Limit,69,4899.0,650104.4099999998,0.0,0.0
257,258,1,9071.48,9247.84,1.944114962497857,long,Max Drawdown Limit,71,12521.560000000041,662625.9699999999,0.0,0.0
259,260,1,9750.0,9713.99,-0.36933333333333557,long,Max Drawdown Limit,67,-2412.6700000000146,660213.2999999998,0.3654379577024641,0.3641073711614476
