No_of_Stocks,Portfolio_Value,Profit_From_Initial_Capital,Current_Position,Current Position,drawdown,drawdown2
0.0,1000000.0,0.0,,0,0.0,0.0
0.0,1000000.0,0.0,,0,0.0,0.0
136.0,1000000.0,0.0,,0,0.0,0.0
0.0,1001244.3999999999,0.12443999999999068,,0,0.0,0.0
136.0,1001244.3999999999,0.12443999999999068,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1055542.4,5.554239999999991,,0,0.0,0.0
119.0,1055542.4,5.554239999999991,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1056899.0,5.6899,,0,0.0,0.0
120.0,1056899.0,5.6899,,0,0.0,0.0
0.0,1050458.6,5.04586000000001,,0,0.6131036482541916,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
107.0,1050458.6,5.04586000000001,,0,0.0,0.6131036482541916
0.0,1059159.84,5.915984000000008,,0,0.0,0.0
0.0,1059159.84,5.915984000000008,,0,0.0,0.0
107.0,1059159.84,5.915984000000008,,0,0.0,0.0
0.0,1098883.59,9.888359000000008,,0,0.0,0.0
0.0,1098883.59,9.888359000000008,,0,0.0,0.0
107.0,1098883.59,9.888359000000008,,0,0.0,0.0
0.0,1111159.7000000002,11.115970000000019,,0,0.0,0.0
0.0,1111159.7000000002,11.115970000000019,,0,0.0,0.0
112.0,1111159.7000000002,11.115970000000019,,0,0.0,0.0
0.0,1087497.4600000002,8.74974600000002,,0,2.175843242889044,2.175843242889044
106.0,1087497.4600000002,8.74974600000002,,0,0.0,2.175843242889044
0.0,1026979.9400000003,2.6979940000000293,,0,5.892765539315197,8.196826123010725
0.0,1026979.9400000003,2.6979940000000293,,0,0.0,8.196826123010725
106.0,1026979.9400000003,2.6979940000000293,,0,0.0,8.196826123010725
0.0,1024203.8000000004,2.4203800000000397,,0,0.27105347588047385,8.490097381009498
0.0,1024203.8000000004,2.4203800000000397,,0,0.0,8.490097381009498
0.0,1024203.8000000004,2.4203800000000397,,0,0.0,8.490097381009498
109.0,1024203.8000000004,2.4203800000000397,,0,0.0,8.490097381009498
0.0,1082038.1100000003,8.203811000000034,,0,0.0,2.691364539831212
0.0,1082038.1100000003,8.203811000000034,,0,0.0,2.691364539831212
124.0,1082038.1100000003,8.203811000000034,,0,0.0,2.691364539831212
0.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
0.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
0.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
0.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
0.0,1103031.3100000003,10.303131000000029,,0,0.0,0.7369138052844479
