Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
334,335,1,19695.87,18764.96,-4.726422341333487,long,signal,122,-113571.01999999999,2305610.4600000028,4.9258546476233205,4.694605218290587
350,351,1,21335.52,22797.16,6.850735299631785,long,signal,108,157857.11999999994,2463467.5800000024,0.0,0.0
352,353,1,23107.39,23821.61,3.09087266021823,long,signal,106,75707.32000000012,2539174.9000000027,0.0,0.0
354,355,1,23455.52,22719.71,-3.1370440732075067,long,signal,108,-79467.48000000014,2459707.4200000023,3.230769617306776,3.129657590739431
356,357,1,23810.79,23232.76,-2.427596900396847,long,signal,103,-59537.09000000026,2400170.330000002,2.480536037623641,2.420494792018811
358,359,1,23729.2,24712.47,4.143713230955955,long,signal,101,99310.27000000005,2499480.600000002,0.0,0.0
360,361,1,26493.39,26281.66,-0.7991804748278705,long,signal,94,-19902.61999999996,2479577.980000002,0.8026615884046566,0.7962702331036334
362,363,1,27079.41,27385.0,1.1284957833276286,long,signal,91,27808.690000000013,2507386.670000002,0.0,0.0
364,365,1,28875.54,28923.63,0.16654233998740853,long,signal,86,4135.7400000000125,2511522.410000002,0.0,0.0
367,368,1,32178.33,33000.05,2.553644020681002,long,signal,78,64094.16000000009,2575616.570000002,0.0,0.0
369,370,1,31988.71,33949.53,6.129725143652244,long,ID,80,156865.59999999998,2732482.1700000023,0.0,0.0
371,372,1,36769.36,39432.28,7.24222559217783,long,ID,74,197056.07999999987,2929538.250000002,0.0,0.0
373,374,1,40582.81,40088.22,-1.2187179744330088,long,signal,72,-35610.47999999975,2893927.770000002,1.230524146772328,1.2155663098100855
375,376,1,38150.02,35404.47,-7.196719687171845,long,ID,75,-205916.24999999968,2688011.5200000023,7.660541945891637,7.1154592085758726
378,379,1,37371.38,39144.5,4.744593322483683,long,signal,71,125891.5200000002,2813903.0400000024,0.0,0.0
386,387,1,30850.13,32945.17,6.7910248676423635,long,ID,91,190648.63999999975,3004551.680000002,0.0,0.0
388,389,1,32078.0,32259.9,0.5670553026996741,long,signal,93,16916.700000000135,3021468.380000002,0.0,0.0
394,395,1,34252.2,34262.88,0.031180478918143337,long,signal,88,939.8400000000256,3022408.2200000025,0.0,0.0
396,397,1,33092.98,33526.37,1.3096130961913957,long,signal,91,39438.48999999995,3061846.7100000028,0.0,0.0
398,399,1,35466.24,37618.87,6.069518505485794,long,signal,86,185126.1800000004,3246972.8900000034,0.0,0.0
402,403,1,39186.94,38795.69,-0.998419371351782,long,signal,82,-32082.5,3214890.3900000034,0.9979344894554855,0.9880741566647318
404,405,1,46374.87,46420.42,0.09822129959608648,long,signal,69,3142.949999999699,3218033.340000003,0.0,0.0
406,407,1,44807.58,47969.51,7.056685498301849,long,ID,71,224497.03000000003,3442530.370000003,0.0,0.0
414,415,1,51552.6,55906.0,8.444578934913082,long,ID,66,287324.4000000001,3729854.770000003,0.0,0.0
417,418,1,57408.57,54087.67,-5.784676399359889,long,ID,64,-212537.6000000001,3517317.1700000027,6.042605478197462,5.69828084754088
421,422,1,47073.73,46276.87,-1.6927912871998894,long,signal,74,-58967.64000000004,3458349.530000003,1.705080400013807,1.6764948155073436
425,426,1,49587.03,48440.65,-2.3118545313159458,long,signal,69,-79100.21999999983,3379249.3100000033,2.3407630732045535,2.287224565181521
430,431,1,48882.2,50971.75,4.274664397265268,long,signal,69,144178.9500000002,3523428.2600000035,0.0,0.0
434,435,1,55851.59,57773.16,3.4404929206133743,long,signal,63,121058.91000000044,3644487.1700000037,0.0,0.0
437,438,1,61188.39,58968.31,-3.6282700035088387,long,signal,59,-130984.7200000001,3513502.450000004,3.728038385173165,3.5940507920624567
439,440,1,55605.2,56900.75,2.3299079942163736,long,signal,63,81619.65000000018,3595122.1000000043,0.0,0.0
441,442,1,58912.97,57648.16,-2.1469126407987877,long,signal,61,-77153.40999999986,3517968.6900000046,2.193123839314203,2.1460581269270267
448,449,1,52303.65,51293.78,-1.9307830333064757,long,signal,67,-67661.29000000018,3450307.400000004,1.9610220816846762,1.9233056335131968
450,451,1,55025.59,55817.14,1.4385125175395719,long,signal,62,49076.10000000018,3499383.5000000047,0.0,0.0
453,454,1,57635.47,58746.57,1.9278059153503884,long,signal,60,66665.99999999991,3566049.5000000047,0.0,0.0
457,458,1,58950.01,57051.94,-3.219795891468041,long,signal,60,-113884.19999999998,3452165.300000005,3.2989208251412396,3.193567559844572
460,461,1,59129.99,57991.15,-1.9259938992041037,long,signal,58,-66052.7199999998,3386112.580000005,1.950694740338481,1.9133707183720212
462,463,1,55953.45,58077.52,3.7961376823055586,long,signal,60,127444.19999999998,3513556.780000005,0.0,0.0
464,465,1,58142.54,59769.13,2.7975901981578315,long,signal,60,97595.39999999979,3611152.180000005,0.0,0.0
467,468,1,59860.0,63575.0,6.206147677915135,long,signal,60,222900.0,3834052.180000005,0.0,0.0
469,470,1,62959.53,63159.98,0.31837912385941314,long,signal,60,12027.000000000262,3846079.1800000053,0.0,0.0
471,472,1,61334.8,60006.66,-2.1653938710161267,long,signal,62,-82344.67999999996,3763734.5000000056,2.1878450778076823,2.1410032437241604
474,475,1,55633.14,56425.0,-1.4233602489451442,short,signal,67,-53054.62000000004,3710679.8800000055,1.4297816496097215,1.409627060569762
476,477,1,53787.63,51690.96,3.8980523960620657,short,ID,68,142573.55999999988,3853253.4400000055,0.0,0.0
478,479,1,51125.14,50047.84,2.107182493778996,short,signal,75,80797.50000000022,3934050.9400000055,0.0,0.0
480,481,1,49066.77,54001.39,-10.056948928979843,short,nextday,80,-394769.6000000002,3539281.3400000054,11.153947993295144,10.034684502585508
483,484,1,54846.22,53555.0,2.354255224881498,short,signal,64,82638.08000000007,3621919.4200000055,0.0,0.0
495,496,1,55816.14,56670.02,-1.5298084030891377,short,signal,64,-54648.31999999983,3567271.1000000057,1.531936274761953,1.5088220819666869
497,498,1,49631.32,49670.97,-0.07988907004690074,short,signal,71,-2815.1500000001033,3564455.950000006,0.07897839220035535,0.07891606556058782
499,500,1,49841.45,46762.99,6.176505699573346,short,ID,71,218570.65999999995,3783026.610000006,0.0,0.0
501,502,1,46431.5,43538.04,6.231674617447205,short,ID,81,234370.25999999992,4017396.8700000057,0.0,0.0
503,504,1,42849.78,36690.09,14.375079638681932,short,trailing_take_profit,93,572851.1700000002,4590248.040000006,0.0,0.0
505,506,1,40526.64,37252.01,8.080191202626215,short,ID,113,370033.1899999997,4960281.230000005,0.0,0.0
507,508,1,37449.73,34655.25,7.461949658916107,short,ID,132,368871.36000000045,5329152.590000005,0.0,0.0
509,510,1,38796.29,38324.72,1.2155028225637032,short,signal,137,64605.08999999996,5393757.680000005,0.0,0.0
511,512,1,39241.91,38529.98,1.8142083298188092,short,signal,137,97534.41000000003,5491292.090000005,0.0,0.0
513,514,1,35663.49,34605.15,2.967572719327235,short,ID,153,161926.01999999947,5653218.110000005,0.0,0.0
537,538,1,31608.93,32509.56,-2.8492897418545993,short,signal,178,-160312.1400000002,5492905.970000004,2.918530571532803,2.8357678207466237
539,540,1,33678.07,34663.09,-2.924811308961579,short,signal,163,-160558.25999999949,5332347.710000005,3.011023825376152,2.923011259921488
541,542,1,31584.45,32283.65,-2.2137475878161585,short,signal,168,-117465.60000000012,5214882.110000004,2.252507295893607,2.202887103174306
