No_of_Stocks,Portfolio_Value,Profit_From_Initial_Capital,Current_Position,Current Position,drawdown,drawdown2
0.0,1000000.0,0.0,,0,0.0,0.0
0.0,1000000.0,0.0,,0,0.0,0.0
0.0,1000000.0,0.0,,0,0.0,0.0
244.0,1000000.0,0.0,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1017150.76,1.7150760000000007,,0,0.0,0.0
227.0,1017150.76,1.7150760000000007,,0,0.0,0.0
0.0,1025536.14,2.5536140000000014,,0,0.0,0.0
250.0,1025536.14,2.5536140000000014,,0,0.0,0.0
0.0,958946.1399999999,-4.10538600000001,,0,6.944081343296311,6.944081343296311
0.0,958946.1399999999,-4.10538600000001,,0,0.0,6.944081343296311
0.0,958946.1399999999,-4.10538600000001,,0,0.0,6.944081343296311
0.0,958946.1399999999,-4.10538600000001,,0,0.0,6.944081343296311
0.0,958946.1399999999,-4.10538600000001,,0,0.0,6.944081343296311
232.0,958946.1399999999,-4.10538600000001,,0,0.0,6.944081343296311
0.0,940826.9399999998,-5.917306000000018,,0,1.9258802261763543,9.003696258952811
0.0,940826.9399999998,-5.917306000000018,,0,0.0,9.003696258952811
0.0,940826.9399999998,-5.917306000000018,,0,0.0,9.003696258952811
295.0,940826.9399999998,-5.917306000000018,,0,0.0,9.003696258952811
0.0,790087.8399999999,-20.991216000000016,,0,19.078777367336777,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
189.0,790087.8399999999,-20.991216000000016,,0,0.0,29.800268790366424
0.0,828609.82,-17.139018000000007,,0,0.0,23.765868475949283
189.0,828609.82,-17.139018000000007,,0,0.0,23.765868475949283
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
152.0,828897.1,-17.110290000000003,,0,0.0,23.72297357536901
0.0,862334.0599999999,-13.766594000000007,,0,0.0,18.925621469712105
146.0,862334.0599999999,-13.766594000000007,,0,0.0,18.925621469712105
0.0,838974.0599999999,-16.102594000000007,,0,2.784353070463228,22.23693066267151
145.0,838974.0599999999,-16.102594000000007,,0,0.0,22.23693066267151
0.0,815046.1599999999,-18.49538400000001,,0,2.935772373922972,25.825528703797602
