,entry_date,entry_price,position_size,stop_loss,direction,equity_at_entry,exit_date,exit_price,pnl,return_pct,holding_period
0,2020-04-19,7120.74,0.14,6978.325199999999,long,1000.0,2020-04-20,6826.83,-41.14739999999998,-4.1147399999999985,1.0
1,2020-07-27,11029.96,0.09,10809.360799999999,long,958.8526,2020-09-03,10140.85,-80.01989999999988,-8.345380718579673,38.0
2,2020-10-13,11420.56,0.08,11192.148799999999,long,878.8327000000002,2021-04-28,54846.22,3474.0528000000004,395.3030878345787,197.0
3,2021-08-01,39845.44,0.11,39048.531200000005,long,4352.8855,2021-08-03,38207.05,-180.22289999999992,-4.1403087675979515,2.0
4,2021-10-11,57471.35,0.07,56321.922999999995,long,4172.662600000001,2021-10-12,55996.93,-103.20939999999989,-2.4734662227422812,1.0
5,2022-02-19,40079.17,0.1,39277.586599999995,long,4069.453200000001,2022-02-20,38386.89,-169.2279999999999,-4.1584948071156065,1.0
6,2022-03-19,42201.13,0.09,41357.10739999999,long,3900.2252000000008,2022-03-20,41262.11,-84.51179999999971,-2.1668441094119304,1.0
7,2022-03-27,46827.76,0.08,45891.2048,long,3815.713400000001,2022-03-31,45510.34,-105.39360000000045,-2.762094239048468,4.0
8,2022-07-28,23842.93,0.16,23366.0714,long,3710.3198000000007,2022-07-31,23293.32,-87.93760000000009,-2.3700814145454543,3.0
9,2022-10-31,20490.74,0.18,20080.9252,long,3622.3822000000005,2022-11-08,18547.23,-349.8318000000003,-9.657506598834333,8.0
